id,name,genres,type,episodes,status,aired_from,aired_to,duration_per_ep,score,scored_by,rank,rating,studios,producers,image,trailer,synopsis
39290,Children,"Avant Garde, Drama",ONA,1.0,Finished Airing,2011-06-30T00:00:00+00:00,,4 min,5.89,1810.0,10637.0,PG-13 - Teens 13 or older,,,https://cdn.myanimelist.net/images/anime/1772/99106l.jpg,,A short film by Takuya Okada set in a conformis
19235,"Dance, Dance, Dance",Fantasy,Music,1.0,Finished Airing,2012-01-01T00:00:00+00:00,,4 min,5.89,591.0,,G - All Ages,,,https://cdn.myanimelist.net/images/anime/8/51611l.jpg,,An official music v
33958,Robber's Company,Comedy,ONA,6.0,Finished Airing,2016-06-30T00:00:00+00:00,2017-08-02T00:00:00+00:00,5 min per ep,5.89,159.0,10664.0,G - All Ages,Studio UGOKI,,https://cdn.myanimelist.net/images/anime/6/81689l.jpg,,"The stage is Tokyo. One girl wants to be a fashion designer. She gets a job officially selling suits, but main business is robbing banks. Her name is Funny. Is Funny able to follow her dream be a fashion designer even though she might get caught in the factions and bonds of the company?"
33936,JA Kumamoto Keizairen,,ONA,2.0,Finished Airing,2016-05-16T00:00:00+00:00,2019-10-31T00:00:00+00:00,1 min per ep,5.89,229.0,10648.0,G - All Ages,,,https://cdn.myanimelist.net/images/anime/10/81646l.jpg,,"The Kumamoto Prefecture Agricultural Cooperative Union's website began streaming an anime commercial titled 'Nikoyaka Shokudou' (Smiling Restaurant) on Wednesday. The commercial is intended to highlight produce grown in the prefecture, including meat (niku), rice (kome), vegetables (yasai), and fruit (kajitsu). The first characters of each of the words s"
33473,Tokyo Twins Athletic Tournament,"Comedy, Sports",TV,8.0,Finished Airing,2016-12-30T00:00:00+00:00,2017-01-07T00:00:00+00:00,6 min per ep,5.89,180.0,10636.0,G - All Ages,Ripromo,"TC Entertainment, CREi",https://cdn.myanimelist.net/images/anime/1266/112142l.jpg,https://www.youtube.com/watch?v=OwgS63HMJ90,"Having cleared the preliminaries, twenty-four pairs of twins face gargantuan challenges on an enormous athletic field. On this man-made island in Tokyo Bay, the bonds between twins are pushed to the limit in the Ultimate Athletic Tournament!

The tournament consists of three insanely difficult obstacle courses. Teamwork and human drama are forged within these grueling challenges.

Participants are limited to twins, but exactly what constitutes a ""twin"" is unclear, resulting in some unusual pairings. In the past, controversial appearances have included clones, adopted siblings, or triplets in shifts.

"
33325,Ganbare!! Tabuchi-kun!! Aa Tsuppari Jinsei,"Comedy, Sports",Movie,1.0,Finished Airing,1980-12-13T00:00:00+00:00,,1 hr 36 min,5.89,118.0,10643.0,PG-13 - Teens 13 or older,Tokyo Movie Shinsha,,https://cdn.myanimelist.net/images/anime/1290/149045l.jpg,,
40564,Blue Star feat. Hatsune Miku,,Music,1.0,Finished Airing,2016-05-13T00:00:00+00:00,,3 min,5.89,553.0,,G - All Ages,,Toy's Factory,https://cdn.myanimelist.net/images/anime/1504/103543l.jpg,,Music video for Blue Star feat. H
40894,In/Spectre Mini Anime,"Comedy, Supernatural",ONA,38.0,Finished Airing,2019-11-15T00:00:00+00:00,2020-02-10T00:00:00+00:00,1 min per ep,5.89,1533.0,10654.0,PG-13 - Teens 13 or older,AQUA ARIS,,https://cdn.myanimelist.net/images/anime/1597/108435l.jpg,,Short episodes with super-deformed characters posted on the official Twitter account. Includes the extra episode commemor
40928,Doko kara Kita no,,Music,1.0,Finished Airing,1989-01-01T00:00:00+00:00,,2 min,5.89,136.0,,G - All Ages,,Fuji TV,https://cdn.myanimelist.net/images/anime/1022/105020l.jpg,,Music video for the song Doko kara Kita no by Yuka Kamebuchi that was featured on Fuji TV's Hirake! Ponkikki program. The video wa
31539,Kyoufu! Zombie Neko,Comedy,TV,52.0,Finished Airing,2015-10-02T00:00:00+00:00,2016-09-30T00:00:00+00:00,1 min per ep,5.89,168.0,10656.0,G - All Ages,Kachidoki Studio,,https://cdn.myanimelist.net/images/anime/13/76568l.jpg,,"The series of ""warm and soothing"" anime shorts will follow a cat who is suddenly resurrected from the grave and begins to wander around town. Despite being a zombie, the cat is able to get all the townsfolk to fall in lo"
